,username,Belgium,Italy,Trinidad and Tobago,United States,Netherlands,Denmark,Switzerland,Ireland,Luxembourg,France,Finland,England,Japan,Scotland,Germany,Norway,Wales,Australia,Sri Lanka,Sweden,Iceland,New Zealand,Mexico,Spain,Brazil,Austria,Kenya,Portugal,Czech Republic,Cyprus,China / People's Republic of China,Poland,Hong Kong,Channel Islands,Vietnam,Thailand,Dominican Republic,Jamaica,Peru,Bahamas,United States Virgin Islands,Canada,Slovakia,Singapore,Argentina,Slovenia,Laos,Greece,Latvia,Estonia,Philippines,Guam,India,Isle of Man,Russia,Northern Ireland,Croatia,Cuba,South Africa,Mauritius,Ethiopia,Ukraine,South Korea,Lebanon,Turkey,Hungary,Namibia,Romania,Lithuania,Serbia,French Polynesia,Rwanda,Nicaragua,El Salvador,Israel,Korea,Tanzania,Cambodia,Other,Chile,Barbados,Kosovo,Albania,Bermuda,Jordan,Mozambique,Morocco,Montenegro,Fiji,Azerbaijan,Guatemala,Panama,Colombia,Costa Rica,Honduras,Venezuela,Indonesia,Aruba,Dominica,Belize
0,madwood1,13,1,1,669,2,5,1,1,1,1,2,6,1,2,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,KevtheBrummie,0,0,0,1,0,0,0,0,0,0,0,127,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,DanElmore,95,33,0,138,8,15,0,31,0,7,0,1231,2,67,18,4,90,8,1,6,1,10,3,26,2,1,1,1,5,1,1,1,1,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,drvic1987,0,0,0,1,0,0,0,0,0,0,0,12,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,PrimaPils,26,3,1,1098,3,0,2,1,0,2,0,22,1,5,11,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,RobNWells,293,231,0,449,103,199,6,17,1,54,2,4342,99,636,106,38,199,10,0,63,5,39,7,66,4,8,1,0,21,0,1,7,0,17,0,3,0,0,0,0,0,15,1,1,1,2,1,1,1,4,1,1,4,4,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4quarts,5,1,0,5,2,1,0,12,0,0,0,398,0,13,34,0,5,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Merv2,10,0,0,4,0,0,0,0,0,0,0,824,0,24,6,0,60,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,mokom1i,10,1,0,4,1,0,0,3,0,0,0,572,0,23,15,0,25,0,0,0,0,1,0,1,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Disarmonia,75,44,0,1199,15,174,0,7,0,6,1,337,58,82,18,47,11,1468,1,16,2,369,12,5,2,1,1,6,2,0,6,2,17,0,5,3,1,1,0,0,0,15,0,12,0,0,0,0,0,1,1,0,1,0,2,0,0,0,2,1,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
