username,Sour - American Wild Ale,Lager - American Light,Scottish Export Ale,IPA - English,Lager - Vienna,Porter - American,Pale Wheat Ale - American,Spiced / Herbed Beer,Gruit / Ancient Herbed Ale,Pilsner - Imperial / Double,Rye Beer,Red Ale - Irish,Belgian Dubbel,Sour - Gueuze,Bière de Garde,Stout - Imperial Milk / Sweet,IPA - Black / Cascadian Dark Ale,Brown Ale - Belgian,Lager - Dortmunder / Export,Dark Ale,Hefeweizen,Stout - Imperial Oatmeal,Barleywine - English,IPA - Imperial / Double Black,Festbier,Lager - Dunkel Munich,Blonde Ale,Fruit Beer,Scotch Ale / Wee Heavy,Kellerbier / Zwickelbier,Lager - Dark,Strong Ale - English,Porter - Baltic,Lambic - Fruit,IPA - Red,Lager - Pale,Strong Ale - American,Winter Warmer,Blonde Ale - Belgian Blonde / Golden,Maibock/Helles Bock,Sour - Flanders Oud Bruin,Winter Ale,Belgian Tripel,Stout - Other,California Common,IPA - Session / India Session Ale,Sour - Gose,Belgian Strong Dark Ale,Golden Ale,Roggenbier,Red Ale - American Amber / Red,Dampfbier,Stout - American,Sour - Ale,IPA - American,Lager - Winter,Altbier,Smoked Beer,Bock,Lager - Helles,Stout - Oatmeal,Pilsner - Other,Doppelbock ,IPA - White,Lager - IPL,IPA - Triple,English Mild Ale,English Bitter,Cream Ale,Pale Ale - American,Stout - American Imperial / Double,Lager - North American Adjunct,Witbier,Weizenbock,Lager - Japanese Rice,Scottish Ale,Porter - Other,Pilsner - German,Pumpkin / Yam Beer,Red Ale - Imperial / Double,IPA - Imperial / Double,Schwarzbier,Belgian Strong Golden Ale,Sour - Flanders Red Ale,Lambic - Framboise,Rye IPA,Pale Ale - Belgian,IPA - International,IPA - Belgian,Shandy / Radler,Stout - Milk / Sweet,Stout - Irish Dry,Saison / Farmhouse Ale,Porter - English,Harvest Ale,Pilsner - Czech,Stout - Imperial / Double,Specialty Grain,Brown Ale - Imperial / Double,Extra Special / Strong Bitter,Rauchbier,Stout - Russian Imperial,Patersbier,Märzen,Pale Ale - English,Kölsch,Brown Ale - American,Sour - Berliner Weisse,Cider,Brown Ale - English,Pale Ale - Australian,Red Ale - Other,Pale Ale - International,Old Ale,Malt Liquor ,Pale Ale - New Zealand,Traditional Ale,Lager - Euro,Lager - Euro Dark,Grätzer / Grodziskie,Mumme,Porter - Imperial / Double,Stout - Foreign / Export,Eisbock,Ginger Beer,Lager - Euro Strong,Lambic - Other,Mead,Grisette,Lambic - Kriek,Lager - American Amber / Red,Wheat Wine,Gluten-Free,Stout - Oyster,Dunkelweizen,Bière de Champagne / Bière Brut,Imperial Pale Ale,Burton Ale,Kristallweizen ,Malt Beer,Belgian Quad,Non-Alcoholic,Barleywine - American,Perry,Lager - Amber,Kvass,Barleywine - Other,Braggot,Brown Ale - Other,Lager - Black,Hefeweizen Light / Leicht,Kombucha,Sahti,Sour - Farmhouse IPA,Root Beer,Australian Sparkling Ale,Applewine,Black & Tan,Cyser,Melomel,Faro,Lager - Red,Happoshu,Pyment,Zoigl,English Ale,Belgian Trappist Ale,American Blonde Ale
madwood1,0.0034083162917518746,0.0006816632583503749,0.0006816632583503749,0.0006816632583503749,0.0027266530334014998,0.011588275391956374,0.006134969325153374,0.00408997955010225,0.0006816632583503749,0.002044989775051125,0.006816632583503749,0.0034083162917518746,0.002044989775051125,0.0006816632583503749,0.0013633265167007499,0.0013633265167007499,0.0034083162917518746,0.0006816632583503749,0.002044989775051125,0.002044989775051125,0.00954328561690525,0.0006816632583503749,0.0006816632583503749,0.0006816632583503749,0.002044989775051125,0.0034083162917518746,0.002044989775051125,0.0027266530334014998,0.0027266530334014998,0.00408997955010225,0.0006816632583503749,0.0006816632583503749,0.002044989775051125,0.0006816632583503749,0.0013633265167007499,0.0027266530334014998,0.0027266530334014998,0.00408997955010225,0.0006816632583503749,0.010224948875255624,0.0006816632583503749,0.0034083162917518746,0.0013633265167007499,0.0054533060668029995,0.0034083162917518746,0.0054533060668029995,0.002044989775051125,0.0027266530334014998,0.0027266530334014998,0.0013633265167007499,0.012269938650306749,0.0006816632583503749,0.0054533060668029995,0.00954328561690525,0.07770961145194274,0.0013633265167007499,0.002044989775051125,0.00408997955010225,0.00408997955010225,0.0054533060668029995,0.007498295841854124,0.006816632583503749,0.00408997955010225,0.0013633265167007499,0.0054533060668029995,0.0013633265167007499,0.0006816632583503749,0.0027266530334014998,0.0034083162917518746,0.04294478527607362,0.007498295841854124,0.0013633265167007499,0.006134969325153374,0.0013633265167007499,0.0006816632583503749,0.0006816632583503749,0.006134969325153374,0.006816632583503749,0.002044989775051125,0.0034083162917518746,0.023176550783912748,0.0034083162917518746,0.002044989775051125,0.0006816632583503749,0.0006816632583503749,0.0013633265167007499,0.0027266530334014998,0.0006816632583503749,0.0034083162917518746,0.0006816632583503749,0.004771642808452625,0.0006816632583503749,0.023858214042263123,0.0006816632583503749,0.0013633265167007499,0.00408997955010225,0.0013633265167007499,0.0013633265167007499,0.002044989775051125,0.00408997955010225,0.0013633265167007499,0.0027266530334014998,0.0013633265167007499,0.015678254942058625,0.0054533060668029995,0.0054533060668029995,0.0034083162917518746,0.00408997955010225,0.002044989775051125,0.0006816632583503749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
terri123,0.0,0.0,0.006896551724137931,0.06896551724137931,0.006896551724137931,0.0,0.006896551724137931,0.0,0.0,0.0,0.0,0.006896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.06206896551724138,0.006896551724137931,0.0,0.0,0.0,0.006896551724137931,0.0,0.0,0.0,0.020689655172413793,0.0,0.0,0.006896551724137931,0.0,0.0,0.013793103448275862,0.0,0.0,0.0,0.006896551724137931,0.0,0.0,0.14482758620689656,0.0,0.006896551724137931,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.11724137931034483,0.0,0.07586206896551724,0.0,0.006896551724137931,0.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013793103448275862,0.0,0.006896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013793103448275862,0.0,0.0,0.0,0.0,0.2620689655172414,0.0,0.0,0.0,0.027586206896551724,0.0,0.006896551724137931,0.006896551724137931,0.006896551724137931,0.006896551724137931,0.006896551724137931,0.013793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VagnTPoulsen,0.0005844535359438924,0.0,0.0,0.015780245470485097,0.010520163646990065,0.0017533606078316774,0.0023378141437755697,0.017533606078316773,0.004675628287551139,0.007597895967270602,0.006428988895382817,0.004675628287551139,0.012273524254821741,0.004091174751607247,0.0029222676797194622,0.0017533606078316774,0.004091174751607247,0.006428988895382817,0.004091174751607247,0.008766803039158387,0.013442431326709527,0.0023378141437755697,0.011689070718877849,0.0023378141437755697,0.0017533606078316774,0.008766803039158387,0.011689070718877849,0.0058445353594389245,0.0035067212156633548,0.008766803039158387,0.005260081823495032,0.008766803039158387,0.007597895967270602,0.0023378141437755697,0.0023378141437755697,0.009351256575102279,0.0017533606078316774,0.0070134424313267095,0.014611338398597311,0.0011689070718877848,0.0017533606078316774,0.027469316189362946,0.028053769725306838,0.029807130333138514,0.0023378141437755697,0.006428988895382817,0.0005844535359438924,0.026300409117475162,0.014611338398597311,0.0017533606078316774,0.011104617182933957,0.0005844535359438924,0.0017533606078316774,0.010520163646990065,0.06487434248977206,0.007597895967270602,0.0017533606078316774,0.004091174751607247,0.02863822326125073,0.011104617182933957,0.008182349503214495,0.02863822326125073,0.01636469900642899,0.0023378141437755697,0.0029222676797194622,0.0005844535359438924,0.0023378141437755697,0.007597895967270602,0.0,0.03389830508474576,0.008766803039158387,0.0035067212156633548,0.01636469900642899,0.004675628287551139,0.0005844535359438924,0.0011689070718877848,0.01694915254237288,0.011104617182933957,0.0005844535359438924,0.0029222676797194622,0.019871420222092345,0.0058445353594389245,0.023378141437755698,0.004091174751607247,0.0005844535359438924,0.0011689070718877848,0.009351256575102279,0.0035067212156633548,0.015195791934541203,0.0035067212156633548,0.005260081823495032,0.005260081823495032,0.026300409117475162,0.0023378141437755697,0.0005844535359438924,0.0070134424313267095,0.009935710111046173,0.0011689070718877848,0.0011689070718877848,0.0035067212156633548,0.0035067212156633548,0.014611338398597311,0.0011689070718877848,0.008766803039158387,0.008766803039158387,0.0017533606078316774,0.0070134424313267095,0.0023378141437755697,0.004675628287551139,0.013442431326709527,0.0,0.0011689070718877848,0.0011689070718877848,0.0058445353594389245,0.0011689070718877848,0.0005844535359438924,0.0011689070718877848,0.004675628287551139,0.0017533606078316774,0.0005844535359438924,0.0011689070718877848,0.008182349503214495,0.004091174751607247,0.0011689070718877848,0.0005844535359438924,0.0011689070718877848,0.0035067212156633548,0.0011689070718877848,0.0005844535359438924,0.004675628287551139,0.0035067212156633548,0.0005844535359438924,0.0029222676797194622,0.0011689070718877848,0.0035067212156633548,0.0017533606078316774,0.0005844535359438924,0.0005844535359438924,0.0005844535359438924,0.0005844535359438924,0.010520163646990065,0.0029222676797194622,0.007597895967270602,0.0005844535359438924,0.0017533606078316774,0.0005844535359438924,0.0011689070718877848,0.0011689070718877848,0.0011689070718877848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maxta1,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lema7913,0.0029154518950437317,0.0006478781988986071,0.0009718172983479105,0.011661807580174927,0.01101392938127632,0.0051830255911888565,0.006154842889536767,0.012633624878522837,0.0025915127955944283,0.0045351473922902496,0.00647878198898607,0.007126660187884677,0.007126660187884677,0.0045351473922902496,0.0045351473922902496,0.0009718172983479105,0.010689990281827016,0.006154842889536767,0.0045351473922902496,0.006154842889536767,0.016844833171363784,0.0012957563977972141,0.00647878198898607,0.0012957563977972141,0.0012957563977972141,0.011661807580174927,0.009394233884029803,0.013605442176870748,0.0058309037900874635,0.008746355685131196,0.008746355685131196,0.00647878198898607,0.010689990281827016,0.0009718172983479105,0.0016196954972465176,0.013605442176870748,0.003239390994493035,0.0035633300939423387,0.009070294784580499,0.0025915127955944283,0.0012957563977972141,0.015873015873015872,0.017168772270813086,0.02364755425979916,0.0022675736961451248,0.008746355685131196,0.00550696469063816,0.02040816326530612,0.007450599287333981,0.0009718172983479105,0.018140589569160998,0.00032393909944930353,0.00550696469063816,0.0184645286686103,0.06543569808875932,0.0035633300939423387,0.003239390994493035,0.007126660187884677,0.02364755425979916,0.008422416585681892,0.004859086491739553,0.02202785876255264,0.016844833171363784,0.0035633300939423387,0.0022675736961451248,0.0016196954972465176,0.003239390994493035,0.009070294784580499,0.004211208292840946,0.04243602202785876,0.007126660187884677,0.001943634596695821,0.014901198574667962,0.0051830255911888565,0.00032393909944930353,0.001943634596695821,0.02591512795594428,0.012633624878522837,0.0058309037900874635,0.0025915127955944283,0.02397149335924846,0.009394233884029803,0.010366051182377713,0.003239390994493035,0.0006478781988986071,0.0022675736961451248,0.007450599287333981,0.0025915127955944283,0.007774538386783284,0.0029154518950437317,0.008098477486232589,0.0058309037900874635,0.024619371558147068,0.00647878198898607,0.0,0.01101392938127632,0.01101392938127632,0.0012957563977972141,0.0012957563977972141,0.00647878198898607,0.008098477486232589,0.015873015873015872,0.0,0.010689990281827016,0.009718172983479106,0.004859086491739553,0.009718172983479106,0.003887269193391642,0.00550696469063816,0.009070294784580499,0.00032393909944930353,0.00032393909944930353,0.00032393909944930353,0.004211208292840946,0.0006478781988986071,0.0006478781988986071,0.0012957563977972141,0.006802721088435374,0.0012957563977972141,0.0009718172983479105,0.0006478781988986071,0.008422416585681892,0.0022675736961451248,0.001943634596695821,0.0022675736961451248,0.0029154518950437317,0.0012957563977972141,0.0016196954972465176,0.0,0.0009718172983479105,0.003239390994493035,0.00032393909944930353,0.0029154518950437317,0.0016196954972465176,0.004211208292840946,0.0012957563977972141,0.00032393909944930353,0.0,0.00032393909944930353,0.0009718172983479105,0.008422416585681892,0.001943634596695821,0.0051830255911888565,0.00032393909944930353,0.0012957563977972141,0.00032393909944930353,0.00032393909944930353,0.0,0.0016196954972465176,0.00032393909944930353,0.0006478781988986071,0.00032393909944930353,0.0006478781988986071,0.00032393909944930353,0.00032393909944930353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swoodford,0.009933774834437087,0.0,0.0016556291390728477,0.026490066225165563,0.0,0.016556291390728478,0.014900662251655629,0.004966887417218543,0.0,0.0016556291390728477,0.004966887417218543,0.006622516556291391,0.0033112582781456954,0.0016556291390728477,0.0016556291390728477,0.0016556291390728477,0.009933774834437087,0.0,0.0,0.016556291390728478,0.008278145695364239,0.0033112582781456954,0.0033112582781456954,0.0033112582781456954,0.0,0.0016556291390728477,0.009933774834437087,0.0033112582781456954,0.004966887417218543,0.0,0.0016556291390728477,0.0016556291390728477,0.0016556291390728477,0.0,0.0016556291390728477,0.0016556291390728477,0.0016556291390728477,0.0033112582781456954,0.0,0.0016556291390728477,0.0,0.004966887417218543,0.0016556291390728477,0.009933774834437087,0.0016556291390728477,0.02152317880794702,0.0016556291390728477,0.0016556291390728477,0.016556291390728478,0.0,0.02152317880794702,0.0,0.006622516556291391,0.016556291390728478,0.19536423841059603,0.0016556291390728477,0.0016556291390728477,0.0016556291390728477,0.0016556291390728477,0.0016556291390728477,0.0033112582781456954,0.0033112582781456954,0.008278145695364239,0.0033112582781456954,0.006622516556291391,0.008278145695364239,0.004966887417218543,0.039735099337748346,0.0,0.07450331125827815,0.024834437086092714,0.0016556291390728477,0.006622516556291391,0.0016556291390728477,0.0,0.011589403973509934,0.0033112582781456954,0.0016556291390728477,0.0033112582781456954,0.009933774834437087,0.09271523178807947,0.0,0.0033112582781456954,0.0,0.0,0.0016556291390728477,0.008278145695364239,0.0,0.009933774834437087,0.0,0.009933774834437087,0.0016556291390728477,0.024834437086092714,0.0016556291390728477,0.0,0.0016556291390728477,0.0016556291390728477,0.0,0.0016556291390728477,0.016556291390728478,0.0,0.018211920529801324,0.0,0.016556291390728478,0.013245033112582781,0.0016556291390728477,0.011589403973509934,0.008278145695364239,0.018211920529801324,0.0016556291390728477,0.0,0.0,0.0,0.004966887417218543,0.0,0.0016556291390728477,0.0,0.0,0.0,0.0,0.0,0.0033112582781456954,0.0016556291390728477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016556291390728477,0.0033112582781456954,0.0,0.0,0.0,0.0,0.0,0.0016556291390728477,0.0,0.0,0.006622516556291391,0.0,0.0,0.004966887417218543,0.0033112582781456954,0.0,0.0016556291390728477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raffmonkey,0.0,0.0,0.003401360544217687,0.05782312925170068,0.0,0.003401360544217687,0.0,0.01020408163265306,0.0,0.0,0.003401360544217687,0.003401360544217687,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.017006802721088437,0.0,0.0,0.0,0.0,0.003401360544217687,0.0,0.013605442176870748,0.006802721088435374,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.003401360544217687,0.027210884353741496,0.0,0.0,0.0,0.0,0.0,0.0,0.003401360544217687,0.030612244897959183,0.0,0.02040816326530612,0.003401360544217687,0.0,0.06462585034013606,0.0,0.027210884353741496,0.0,0.0,0.003401360544217687,0.04421768707482993,0.0,0.003401360544217687,0.0,0.003401360544217687,0.006802721088435374,0.006802721088435374,0.01020408163265306,0.0,0.0,0.0,0.0,0.01020408163265306,0.10204081632653061,0.0,0.07142857142857142,0.0,0.006802721088435374,0.013605442176870748,0.0,0.003401360544217687,0.003401360544217687,0.02040816326530612,0.02040816326530612,0.0,0.0,0.003401360544217687,0.003401360544217687,0.0,0.0,0.0,0.0,0.0,0.003401360544217687,0.0,0.013605442176870748,0.01020408163265306,0.006802721088435374,0.003401360544217687,0.013605442176870748,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.006802721088435374,0.0,0.0,0.1054421768707483,0.0,0.003401360544217687,0.0,0.09863945578231292,0.013605442176870748,0.003401360544217687,0.006802721088435374,0.003401360544217687,0.003401360544217687,0.0,0.003401360544217687,0.003401360544217687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.003401360544217687,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003401360544217687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bilomov,0.0,0.0,0.002770083102493075,0.0664819944598338,0.00554016620498615,0.0,0.002770083102493075,0.00554016620498615,0.0,0.0,0.002770083102493075,0.002770083102493075,0.002770083102493075,0.0,0.0,0.0,0.00554016620498615,0.0,0.002770083102493075,0.002770083102493075,0.0,0.0,0.00554016620498615,0.0,0.0,0.0,0.0110803324099723,0.008310249307479225,0.0,0.0,0.002770083102493075,0.008310249307479225,0.0,0.0,0.00554016620498615,0.0443213296398892,0.0,0.0,0.0,0.0,0.0,0.00554016620498615,0.0,0.013850415512465374,0.002770083102493075,0.019390581717451522,0.0,0.0,0.08310249307479224,0.0,0.027700831024930747,0.0,0.0,0.0,0.04986149584487535,0.0,0.002770083102493075,0.002770083102493075,0.0,0.008310249307479225,0.002770083102493075,0.024930747922437674,0.0,0.0,0.002770083102493075,0.0,0.013850415512465374,0.13019390581717452,0.0,0.060941828254847646,0.0,0.008310249307479225,0.0110803324099723,0.0,0.00554016620498615,0.002770083102493075,0.019390581717451522,0.024930747922437674,0.002770083102493075,0.0,0.002770083102493075,0.0,0.0,0.0,0.0,0.00554016620498615,0.0,0.008310249307479225,0.0,0.0,0.00554016620498615,0.002770083102493075,0.01662049861495845,0.00554016620498615,0.0,0.002770083102493075,0.0,0.0,0.0,0.01662049861495845,0.0,0.002770083102493075,0.0,0.002770083102493075,0.10249307479224377,0.0,0.008310249307479225,0.002770083102493075,0.024930747922437674,0.008310249307479225,0.0,0.00554016620498615,0.002770083102493075,0.002770083102493075,0.0,0.008310249307479225,0.002770083102493075,0.0221606648199446,0.0,0.0,0.0,0.0,0.0,0.0,0.002770083102493075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00554016620498615,0.0,0.0,0.0,0.0,0.002770083102493075,0.0,0.0,0.0,0.0,0.0,0.008310249307479225,0.002770083102493075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eh_boy,0.001321003963011889,0.0,0.003963011889035667,0.04095112285336856,0.003963011889035667,0.001321003963011889,0.001321003963011889,0.0066050198150594455,0.0,0.0,0.005284015852047556,0.001321003963011889,0.007926023778071334,0.002642007926023778,0.0,0.0,0.005284015852047556,0.0,0.0,0.007926023778071334,0.003963011889035667,0.0,0.007926023778071334,0.0,0.0,0.001321003963011889,0.035667107001321,0.009247027741083224,0.001321003963011889,0.0,0.001321003963011889,0.015852047556142668,0.001321003963011889,0.0,0.003963011889035667,0.022457067371202115,0.001321003963011889,0.005284015852047556,0.007926023778071334,0.001321003963011889,0.0,0.013210039630118891,0.005284015852047556,0.01453104359313078,0.003963011889035667,0.018494055482166448,0.001321003963011889,0.0066050198150594455,0.095112285336856,0.0,0.022457067371202115,0.0,0.0,0.002642007926023778,0.08850726552179657,0.0,0.001321003963011889,0.003963011889035667,0.0,0.002642007926023778,0.002642007926023778,0.007926023778071334,0.0,0.001321003963011889,0.001321003963011889,0.0,0.017173051519154558,0.11228533685601057,0.0,0.06472919418758256,0.001321003963011889,0.005284015852047556,0.010568031704095112,0.0,0.001321003963011889,0.002642007926023778,0.015852047556142668,0.002642007926023778,0.003963011889035667,0.0,0.021136063408190225,0.0,0.003963011889035667,0.0,0.0,0.002642007926023778,0.002642007926023778,0.003963011889035667,0.005284015852047556,0.0,0.0066050198150594455,0.003963011889035667,0.013210039630118891,0.009247027741083224,0.001321003963011889,0.003963011889035667,0.002642007926023778,0.0,0.001321003963011889,0.017173051519154558,0.0,0.002642007926023778,0.0,0.0,0.07793923381770146,0.001321003963011889,0.0066050198150594455,0.001321003963011889,0.002642007926023778,0.007926023778071334,0.0066050198150594455,0.002642007926023778,0.001321003963011889,0.007926023778071334,0.0,0.001321003963011889,0.001321003963011889,0.0066050198150594455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001321003963011889,0.0,0.001321003963011889,0.002642007926023778,0.0,0.005284015852047556,0.0,0.001321003963011889,0.0,0.0,0.003963011889035667,0.001321003963011889,0.0,0.005284015852047556,0.002642007926023778,0.0,0.001321003963011889,0.001321003963011889,0.0,0.0,0.001321003963011889,0.001321003963011889,0.0,0.0,0.0,0.0,0.0,0.0,0.001321003963011889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pault63,0.0,0.0,0.0,0.0456140350877193,0.0017543859649122807,0.0,0.0,0.008771929824561403,0.0,0.0,0.0035087719298245615,0.0017543859649122807,0.0,0.0,0.0017543859649122807,0.0,0.0035087719298245615,0.0,0.0017543859649122807,0.007017543859649123,0.012280701754385965,0.0,0.0017543859649122807,0.0,0.0,0.0,0.04736842105263158,0.014035087719298246,0.0017543859649122807,0.0017543859649122807,0.0017543859649122807,0.0017543859649122807,0.0,0.0,0.0,0.012280701754385965,0.0,0.0,0.0,0.0017543859649122807,0.0,0.005263157894736842,0.0017543859649122807,0.02631578947368421,0.0035087719298245615,0.02631578947368421,0.0035087719298245615,0.0,0.11403508771929824,0.0,0.028070175438596492,0.0,0.0017543859649122807,0.017543859649122806,0.04736842105263158,0.0,0.0,0.005263157894736842,0.0,0.005263157894736842,0.007017543859649123,0.0035087719298245615,0.0,0.0,0.005263157894736842,0.0,0.012280701754385965,0.12982456140350876,0.0,0.0824561403508772,0.0,0.0017543859649122807,0.014035087719298246,0.0,0.0,0.0017543859649122807,0.017543859649122806,0.0,0.0,0.0,0.0,0.0017543859649122807,0.0017543859649122807,0.0017543859649122807,0.0,0.0017543859649122807,0.0,0.007017543859649123,0.0,0.0,0.014035087719298246,0.0017543859649122807,0.014035087719298246,0.012280701754385965,0.0,0.0035087719298245615,0.0,0.0,0.0,0.007017543859649123,0.0,0.0,0.0,0.0,0.12105263157894737,0.0035087719298245615,0.005263157894736842,0.0,0.0017543859649122807,0.008771929824561403,0.0017543859649122807,0.0017543859649122807,0.012280701754385965,0.0035087719298245615,0.0,0.012280701754385965,0.0017543859649122807,0.0017543859649122807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017543859649122807,0.0017543859649122807,0.0,0.0017543859649122807,0.0,0.0035087719298245615,0.0,0.0,0.0017543859649122807,0.0,0.0,0.0,0.0017543859649122807,0.0,0.0017543859649122807,0.0,0.0,0.0,0.007017543859649123,0.0,0.0,0.0,0.0017543859649122807,0.0,0.0,0.0,0.0,0.0017543859649122807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
