,beer_id,abv,style,brewery
0,1818673,0.059000000000000004,IPA - American,Firestone Walker Brewing Company
1,786470,0.055999999999999994,Porter - Other,Urban Growler Brewing Company
2,120946,0.055,Pale Ale - American,Evil Twin Brewing
3,98147,0.038,Pale Ale - English,Butcombe Brewery 
4,1111419,0.07,IPA - American,Bad Weather Brewing Company
5,636623,0.052000000000000005,IPA - American,Totally Brewed
6,704689,0.042,Pale Ale - English,Sharp's Brewery
7,32811,0.08800000000000001,Smoked Beer,Surly Brewing Company
8,1922586,0.068,Other,Good City Brewing
9,5512,0.042,Pale Ale - English,St Austell Brewery
10,96971,0.075,IPA - American,Milwaukee Brewing Company
11,1905824,0.063,Stout - Oatmeal,Karben4 Brewing
12,1226246,0.055,IPA - American,Bang Brewing
13,1797212,0.12,Stout - Russian Imperial,Surly Brewing Company
14,1432,0.0575,Porter - American,Tyranena Brewing
15,1819299,0.057999999999999996,Saison / Farmhouse Ale,Brenner Brewing Co.
16,1888326,0.045,Pale Ale - American,Revolutions Brewing Co.
17,1913742,0.05,Pale Ale - American,Haymarket Pub and Brewery
18,11183,0.055,Red Ale - American Amber / Red,Milwaukee Brewing Company
19,1564370,0.063,IPA - American,Urban Harvest Brewing Company 
20,1928494,0.06,IPA - American,MobCraft Beer
21,73566,0.065,Red Ale - Imperial / Double,Steel Toe Brewing
22,4133,0.07,IPA - American,Bell's Brewery
23,164374,0.055,Dark Ale,3 Sheeps Brewing Company
24,25294,0.05,Pilsner - German,Haymarket Pub and Brewery
25,9203,0.039,Pale Ale - New Zealand,Thornbridge Brewery
26,12881,0.04,English Bitter,Thornbridge Brewery
27,724583,0.053,Stout - Oyster,Hammerton Brewery
28,52041,0.045,Pale Ale - New Zealand,North Cotswold Brewery
29,59336,0.039,Dark Ale,Thornbridge Brewery
30,1890949,0.06,Pale Ale - English,The Fownes Brewing Company
31,232202,0.044000000000000004,Pale Ale - American,Beartown Brewery
32,915726,0.047,Stout - Milk / Sweet,The Wild Beer Co
33,986439,0.046,Dark Ale,Bewdley Brewery
34,968854,0.04,Pale Ale - English,Exit 33
35,1801538,0.044000000000000004,Pale Ale - English,Ilkley Brewery Co.
36,1853546,0.045,IPA - Session / India Session Ale,Cloudwater Brew Co.
37,1830223,0.06,IPA - English,Shiny Brewing
38,1825625,0.052000000000000005,Pale Ale - American,Thornbridge Brewery
39,30110,0.05,English Bitter,Wadworth Co.
40,1583092,0.05,Pale Ale - American,Arbor Ales
41,1863612,0.048,Porter - Other,Gloucester Brewery
42,717880,0.038,English Bitter,Thornbridge Brewery
43,1885103,0.04,Stout - American,Framework Brewery
44,1761645,0.040999999999999995,Pale Ale - New Zealand,Thirst Class Ale
45,18198,0.057999999999999996,Old Ale,Wadworth Co.
46,61700,0.055,Pale Ale - American,Magic Rock Brewing
47,13229,0.045,Stout - Milk / Sweet,Bristol Beer Factory
48,358973,0.04,Pale Ale - English,Muirhouse Brewery
49,1951929,0.075,Stout - Imperial / Double,Marston's Brewery
50,1614474,0.05,Rye Beer,Framework Brewery
51,1923498,0.044000000000000004,Stout - Other,Neepsend Brew Co.
52,1308494,0.044000000000000004,Pale Ale - American,Camerons Brewery
53,1930385,0.044000000000000004,Pale Ale - International,Hopcraft Brewing
54,263389,0.07200000000000001,Strong Ale - English,Axholme Brewing Company
55,1808812,0.045,Stout - Milk / Sweet,Nene Valley Brewery
56,1909686,0.07400000000000001,Pale Ale - International,Brass Castle Brewery
57,1888334,0.05,IPA - English,Revolutions Brewing Co.
58,1888312,0.039,English Bitter,Revolutions Brewing Co.
59,78942,0.055,Porter - Other,Brass Castle Brewery
60,1888318,0.039,Pale Ale - International,Revolutions Brewing Co.
61,142031,0.06,Stout - Other,Revolutions Brewing Co.
62,706192,0.042,English Mild Ale,Brass Castle Brewery
63,1933120,0.055,IPA - American,Framework Brewery
64,1915152,0.048,Golden Ale,Hopcraft Brewing
65,1911160,0.07200000000000001,IPA - American,Neon Raptor Brewing Co.
66,1934971,0.057999999999999996,IPA - American,Torrside Brewing
67,1934722,0.05,Porter - English,Hopcraft Brewing
68,145776,0.045,Porter - Other,Revolutions Brewing Co.
69,1295767,0.07,IPA - Black / Cascadian Dark Ale,Pentrich Brewing Co.
70,1936095,0.039,Brown Ale - English,Framework Brewery
71,1868303,0.036000000000000004,Schwarzbier,Torrside Brewing
72,275478,0.043,Porter - Other,Brunswick Brewing Company
73,50090,0.045,English Bitter,Brains
74,16530,0.04,English Bitter,Butcombe Brewery 
75,318986,0.05,Extra Special / Strong Bitter,Steamin' Billy Brewing Co. Ltd
76,204447,0.047,Pilsner - Other,Curious Drinks (Chapel Down)
77,139843,0.042,English Bitter,The Langton Brewery
78,522357,0.048,English Bitter,Tom Wood’s Beer Ltd
79,1736906,0.064,IPA - American,Beeston Hop
80,1274958,0.043,Pale Ale - English,Beeston Hop
81,4509,0.062000000000000006,IPA - American,Lagunitas Brewing Company
82,105628,0.043,Winter Ale,Orkney Brewery
83,11069,0.043,English Bitter,Salopian Brewery
84,666670,0.039,Blonde Ale,Towcester Mill Brewery
85,33032,0.044000000000000004,English Mild Ale,Rudgate Brewery
86,164769,0.038,Pale Ale - American,BrewDog
87,616068,0.055999999999999994,Stout - Milk / Sweet,Wiper And True
88,1950766,0.053,Pale Ale - English,The Kernel Brewery
89,323305,0.055999999999999994,IPA - American,Siren Craft Brew
90,881921,0.05,Stout - American,Fairhope Brewing Co.
91,13241,0.07200000000000001,Stout - Foreign / Export,The Kernel Brewery
92,1936248,0.06,IPA - American,Forest & Main Brewing Company
93,1220969,0.049,Sour - Ale,Free Will Brewing
94,6716,0.036000000000000004,IPA - English,Greene King
95,8119,0.043,Extra Special / Strong Bitter,Greene King
96,2762,0.040999999999999995,English Bitter,"Fuller, Smith & Turner "
97,136656,0.043,IPA - Session / India Session Ale,Beavertown
98,375566,0.063,Pale Ale - American,Fat Head's Brewery
99,29531,0.045,English Bitter,Charles Wells Brewery
100,5702,0.055999999999999994,IPA - American,BrewDog
101,237500,0.054000000000000006,Pale Ale - American,Beavertown
102,302816,0.048,Pale Ale - American,Pressure Drop Brewing
103,1716899,0.067,IPA - American,Beavertown
104,7427,0.051,Lager - Euro,Birra Peroni
105,1868652,0.05,Saison / Farmhouse Ale,Forest & Main Brewing Company
106,474322,0.07,Rye IPA,Siren Craft Brew
107,1301459,0.045,Stout - Other,Weird Beard Brew Co.
108,1732512,0.048,Blonde Ale,New Belgium Brewing Company
109,1783964,0.066,IPA - American,Siren Craft Brew
110,5455,0.055,Extra Special / Strong Bitter,"Fuller, Smith & Turner "
111,1962341,0.06,English Bitter,Lacons Ales
112,1914187,0.052000000000000005,Porter - Other,Boudicca
113,1953478,0.09,IPA - Belgian,SixºNorth
114,1620112,0.07,Sour - Ale,SixºNorth
115,408091,0.044000000000000004,IPA - Session / India Session Ale,8 Wired Brewing Co.
116,1754118,0.05,Red Ale - Other,Ilkley Brewery Co.
117,1193136,0.049,Sour - Berliner Weisse,Mike Hess Brewing
118,222086,0.042,Porter - English,Cliff Quay Brewery
119,469847,0.057,Porter - Other,Poppyland Brewery
120,55406,0.042,Golden Ale,Crouch Vale
121,26018,0.1,Barleywine - American,Crazy Mountain Brewing Company
122,1017330,0.043,IPA - Session / India Session Ale,Harpoon Brewery
123,1387851,0.046,Pilsner - Other,Redwell Brewing Co.
124,660785,0.046,Stout - Oyster,London Brewing Co
125,1442541,0.022000000000000002,Gluten-Free,To Øl
126,1767316,0.07,Sour - Ale,SixºNorth
127,1688106,0.042,Pale Ale - English,Pig & Porter
128,456210,0.075,Old Ale,Brass Castle Brewery
129,361836,0.05,Dark Ale,Heavy Industry Brewing
130,1963408,0.05,Porter - English,The Great Yorkshire Brewery
131,137107,0.06,IPA - American,Birrificio di Lambrate
132,1000300,0.05,Winter Ale,Tombstone Brewery
133,1904360,0.045,Pale Ale - New Zealand,North Riding Brewery
134,402578,0.06,Cider,Skidbrooke Cyder
135,26140,0.07400000000000001,Old Ale,Marston's Brewery
136,491659,0.036000000000000004,English Mild Ale,Riverhead Brewery
137,4003,0.047,English Bitter,Adnams
138,1905921,0.042,Pale Ale - English,Chantry Brewery
139,285960,0.039,Pale Ale - American,Chantry Brewery
140,115130,0.04,Golden Ale,Wold Top Brewery 
141,83687,0.075,Cider,Millwhites Cider
142,528838,0.040999999999999995,Pale Ale - English,Chantry Brewery
143,1399393,0.042,Blonde Ale,Half Moon Brewery
144,17858,0.065,Blonde Ale - Belgian Blonde / Golden,Bierbrouwerij De Koningshoeven
145,1052823,0.04,Pale Ale - English,The Rat Brewery
146,145352,0.042,Golden Ale,Banks's Beer
147,1281999,0.05,Smoked Beer,The Hop Studio
148,106468,0.05,IPA - American,The Rat Brewery
149,6578,0.05,Pilsner - German,Berliner-Kindl-Schultheiss-Brauerei
150,245358,0.04,Pale Ale - American,Fernandes Brewery
151,110995,0.06,Winter Warmer,Wold Top Brewery 
152,1477196,0.065,Cider,Coleman's Cider Company
153,1860580,0.043,Golden Ale,Abbeydale Brewery
154,1959840,0.048,Pale Ale - English,Half Moon Brewery
155,123301,0.05,Pale Ale - English,Bradfield Brewery
156,635901,0.045,Pale Ale - English,Fernandes Brewery
157,1160477,0.043,IPA - English,St. Andrew's Brewery
158,371013,0.038,Red Ale - Other,Lacons Ales
159,1962401,0.038,English Bitter,Woodforde's Ltd
160,1962314,0.05,Saison / Farmhouse Ale,Muntons
161,122314,0.043,English Bitter,Oakham Ales
162,33086,0.045,English Bitter,Woodforde's Ltd
163,1144757,0.044000000000000004,Pale Ale - English,Wolf Brewery
164,784311,0.043,IPA - Session / India Session Ale,Harbour Brewing Co
165,1900955,0.042,Pale Ale - International,Navigation Brewery
166,1636105,0.045,English Bitter,Reunion Ales
167,1747216,0.051,IPA - English,Langwith
168,814355,0.038,Golden Ale,Golden Triangle
169,830182,0.05,IPA - English,Norfolk Brewhouse
170,345074,0.043,Golden Ale,Woodforde's Ltd
171,1946773,0.036000000000000004,Pale Ale - American,Woodforde's Ltd
172,18968,0.038,English Bitter,Woodforde's Ltd
173,167881,0.037000000000000005,English Bitter,Wolf Brewery
174,1925074,0.040999999999999995,IPA - English,Robinsons Brewery
175,101399,0.038,English Bitter,Humpty Dumpty Brewery
176,172282,0.039,Golden Ale,Grain Brewery
177,504925,0.04,Pale Ale - English,Greene King
178,11843,0.053,English Bitter,Winter's Brewery
